time,sst1
1985-01-01,26.59
1985-01-02,26.3
1985-01-03,26.34
1985-01-04,27.63
1985-01-05,27.9
1985-01-06,27.17
1985-01-07,26.57
1985-01-08,26.69
1985-01-09,26.51
1985-01-10,26.43
1985-01-11,26.43
1985-01-12,26.43
1985-01-13,26.38
1990-01-01,27.4
1990-01-02,27.37
1990-01-03,27.54
1990-01-04,28.14
1990-01-05,28.04
1990-01-06,27.87
1990-01-07,27.96
1990-01-08,27.94
1990-01-09,27.9
1990-01-10,27.95
1990-01-11,27.95
1990-01-12,27.86
1990-01-13,27.45
1995-01-01,27.57
1995-01-02,27.63
1995-01-03,27.71
1995-01-04,27.59
1995-01-05,27.63
1995-01-06,27.73
1995-01-07,27.87
1995-01-08,27.62
1995-01-09,27.75
1995-01-10,27.83
1995-01-11,27.82
1995-01-12,27.6
1995-01-13,27.67
2000-01-01,27.15
2000-01-02,27.5
2000-01-03,27.48
2000-01-04,27.6
2000-01-05,28.34
2000-01-06,28.35
2000-01-07,28.19
2000-01-08,27.73
2000-01-09,27.54
2000-01-10,27.55
2000-01-11,27.7
2000-01-12,27.9
2000-01-13,28.06
2005-01-01,28.33
2005-01-02,28.37
2005-01-03,28.25
2005-01-04,27.94
2005-01-05,28.0
2005-01-06,28.36
2005-01-07,28.57
2005-01-08,28.54
2005-01-09,28.49
2005-01-10,28.39
2005-01-11,28.2
2005-01-12,27.97
2005-01-13,27.9
2010-01-01,28.44
2010-01-02,28.22
2010-01-03,28.3
2010-01-04,28.16
2010-01-05,28.15
2010-01-06,28.21
2010-01-07,28.39
2010-01-08,28.5
2010-01-09,28.81
2010-01-10,28.63
2010-01-11,28.22
2010-01-12,28.08
2010-01-13,28.08
2015-01-01,28.55
2015-01-02,28.44
2015-01-03,28.47
2015-01-04,28.37
2015-01-05,28.17
2015-01-06,27.97
2015-01-07,27.9
2015-01-08,28.12
2015-01-09,28.12
2015-01-10,28.18
2015-01-11,28.0
2015-01-12,27.99
2015-01-13,28.12
2020-01-01,28.57
2020-01-02,28.73
2020-01-03,28.87
2020-01-04,29.04
2020-01-05,28.95
2020-01-06,28.81
2020-01-07,28.75
2020-01-08,28.63
2020-01-09,28.58
2020-01-10,28.49
2020-01-11,28.45
2020-01-12,28.73
2020-01-13,28.79
